DrawDate,B1,B2,B3,B4,B5,S1,S2
29-Mar-2022,8,11,33,42,43,6,11
25-Mar-2022,6,10,24,27,29,5,12
22-Mar-2022,7,17,21,29,40,8,11
18-Mar-2022,1,9,14,17,43,6,12
15-Mar-2022,1,2,12,19,26,2,8
11-Mar-2022,12,19,22,23,48,2,6
08-Mar-2022,12,18,21,25,31,2,9
04-Mar-2022,6,20,40,42,43,10,12
01-Mar-2022,8,24,26,39,42,3,5
25-Feb-2022,10,13,24,30,42,1,5
22-Feb-2022,5,9,14,26,32,3,7
18-Feb-2022,25,38,41,43,50,6,10
15-Feb-2022,9,20,31,33,44,2,12
11-Feb-2022,13,18,38,42,45,7,11
08-Feb-2022,6,20,34,37,43,7,10
04-Feb-2022,3,25,38,43,49,3,7
01-Feb-2022,1,19,36,38,49,6,9
28-Jan-2022,10,25,29,34,45,9,10
25-Jan-2022,6,16,18,39,47,2,4
21-Jan-2022,5,14,35,36,39,7,12
18-Jan-2022,3,12,19,24,30,2,5
14-Jan-2022,6,17,25,31,46,9,12
11-Jan-2022,4,23,32,33,44,9,12
07-Jan-2022,2,14,37,44,50,7,11
04-Jan-2022,18,28,35,36,41,6,11
31-Dec-2021,7,22,25,43,49,6,7
28-Dec-2021,4,6,15,17,29,9,12
24-Dec-2021,2,26,28,34,41,5,10
21-Dec-2021,12,17,21,34,38,2,3
17-Dec-2021,1,2,15,30,35,2,7
14-Dec-2021,19,21,37,47,48,3,6
10-Dec-2021,11,21,33,38,42,2,8
07-Dec-2021,22,31,38,46,47,7,11
03-Dec-2021,21,22,29,32,46,9,10
30-Nov-2021,19,20,26,33,43,1,4
26-Nov-2021,1,20,41,42,50,3,7
23-Nov-2021,17,21,36,42,46,7,10
19-Nov-2021,22,26,38,47,50,2,6
16-Nov-2021,9,19,21,32,36,3,4
12-Nov-2021,2,9,15,47,50,6,9
09-Nov-2021,17,25,26,33,36,1,8
05-Nov-2021,2,12,25,30,41,8,11
02-Nov-2021,2,3,17,29,43,1,4
29-Oct-2021,10,15,28,32,49,3,9
26-Oct-2021,12,15,20,42,44,1,2
22-Oct-2021,12,17,22,33,39,2,12
19-Oct-2021,4,20,36,40,41,1,6
15-Oct-2021,21,26,31,34,49,2,5
12-Oct-2021,6,13,22,45,49,10,11
08-Oct-2021,1,10,23,42,46,3,5
05-Oct-2021,11,13,14,36,45,7,9
01-Oct-2021,1,15,19,26,48,5,12
28-Sep-2021,6,7,12,33,39,1,7
24-Sep-2021,2,12,20,27,41,10,12
21-Sep-2021,20,25,26,30,38,2,8
17-Sep-2021,5,7,8,10,34,1,9
14-Sep-2021,12,18,35,38,45,2,8
10-Sep-2021,1,6,7,18,28,2,8
07-Sep-2021,7,19,35,42,43,7,9
03-Sep-2021,5,7,13,29,35,3,7
31-Aug-2021,5,13,17,32,43,2,10
27-Aug-2021,2,3,31,46,50,8,12
24-Aug-2021,19,21,36,44,50,3,10
20-Aug-2021,3,9,19,20,23,9,11
17-Aug-2021,12,31,41,42,47,4,6
13-Aug-2021,6,12,44,47,49,8,12
10-Aug-2021,9,37,47,48,49,2,7
06-Aug-2021,7,14,21,26,32,4,12
03-Aug-2021,17,21,23,45,46,7,11
30-Jul-2021,10,23,33,35,37,5,10
27-Jul-2021,5,9,19,21,25,10,12
23-Jul-2021,23,24,26,34,50,2,4
20-Jul-2021,3,12,19,41,48,6,9
16-Jul-2021,5,16,42,47,49,3,11
13-Jul-2021,5,6,8,11,22,3,4
09-Jul-2021,6,19,36,37,49,4,11
06-Jul-2021,2,5,21,27,42,9,11
02-Jul-2021,9,14,29,38,49,7,10
29-Jun-2021,6,12,20,24,48,5,6
25-Jun-2021,1,29,30,33,36,3,12
22-Jun-2021,6,24,26,27,41,3,8
18-Jun-2021,11,20,27,30,41,3,5
15-Jun-2021,11,21,26,30,31,2,3
11-Jun-2021,9,17,21,33,39,7,11
08-Jun-2021,2,11,26,36,47,7,9
04-Jun-2021,7,20,36,40,46,2,4
01-Jun-2021,3,10,26,35,44,6,7
28-May-2021,11,13,16,34,40,1,12
25-May-2021,1,21,26,30,38,2,8
21-May-2021,2,9,13,15,35,3,10
18-May-2021,5,13,38,39,40,4,12
14-May-2021,6,16,18,29,38,6,11
11-May-2021,14,25,34,43,46,5,6
07-May-2021,14,22,33,38,47,8,9
04-May-2021,3,10,13,28,46,4,11
30-Apr-2021,1,16,24,28,46,2,11
27-Apr-2021,13,14,24,35,49,1,10
23-Apr-2021,3,14,15,19,29,2,8
20-Apr-2021,5,17,28,41,46,10,11
16-Apr-2021,6,11,29,40,48,5,9
13-Apr-2021,16,20,31,47,50,2,8
09-Apr-2021,2,8,32,35,44,8,11
06-Apr-2021,2,21,37,38,50,7,8
02-Apr-2021,4,21,34,40,47,2,5
30-Mar-2021,24,27,28,29,42,4,8
26-Mar-2021,10,12,37,49,50,3,8
23-Mar-2021,2,26,29,36,49,3,9
19-Mar-2021,3,9,35,43,44,1,10
16-Mar-2021,23,25,32,35,47,2,6
12-Mar-2021,4,6,9,11,44,10,11
09-Mar-2021,1,16,21,32,33,11,12
05-Mar-2021,4,5,39,46,48,7,10
02-Mar-2021,2,19,24,26,49,6,7
26-Feb-2021,6,12,22,29,33,6,11
23-Feb-2021,9,18,30,39,45,1,3
19-Feb-2021,4,12,25,46,48,7,12
16-Feb-2021,5,9,25,29,30,6,7
12-Feb-2021,7,23,30,32,36,8,12
09-Feb-2021,5,10,24,31,37,9,10
05-Feb-2021,12,19,37,44,45,2,6
02-Feb-2021,18,20,35,38,48,9,12
29-Jan-2021,1,5,27,36,42,1,6
26-Jan-2021,5,7,25,37,40,2,8
22-Jan-2021,8,16,42,44,47,6,7
19-Jan-2021,25,27,31,35,43,5,6
15-Jan-2021,4,10,27,38,40,3,11
12-Jan-2021,2,10,18,34,35,6,9
08-Jan-2021,18,23,37,41,42,4,6
05-Jan-2021,12,37,37,38,42,1,3
01-Jan-2021,16,28,32,44,48,1,9
29-Dec-2020,7,32,39,40,45,3,8
25-Dec-2020,16,21,27,30,32,3,5
22-Dec-2020,2,10,16,42,50,4,11
18-Dec-2020,2,3,13,17,21,7,8
15-Dec-2020,9,13,21,29,35,1,2
11-Dec-2020,6,9,13,24,41,3,12
08-Dec-2020,1,4,21,24,46,2,12
04-Dec-2020,14,20,27,34,38,1,11
01-Dec-2020,14,20,29,47,49,4,12
27-Nov-2020,2,5,8,14,16,8,9
24-Nov-2020,25,33,38,42,50,8,12
20-Nov-2020,28,29,39,48,50,5,7
17-Nov-2020,16,19,25,30,44,2,6
13-Nov-2020,1,5,17,28,31,1,10
10-Nov-2020,3,19,29,32,38,5,12
06-Nov-2020,7,12,37,40,50,1,2
03-Nov-2020,5,7,18,20,30,6,7
30-Oct-2020,12,16,20,21,28,3,8
27-Oct-2020,13,15,28,32,44,3,12
23-Oct-2020,10,15,19,21,23,3,12
20-Oct-2020,5,6,15,37,42,3,4
16-Oct-2020,15,33,38,40,50,3,6
13-Oct-2020,5,14,38,41,46,1,10
09-Oct-2020,11,15,35,41,50,5,8
06-Oct-2020,4,21,36,41,47,9,11
02-Oct-2020,6,12,15,40,45,3,9
29-Sep-2020,4,14,16,41,44,11,12
25-Sep-2020,19,23,34,37,45,1,7
22-Sep-2020,16,25,28,39,40,1,6
18-Sep-2020,2,10,19,25,45,1,7
15-Sep-2020,16,20,25,30,38,6,8
11-Sep-2020,34,38,42,43,45,9,12
08-Sep-2020,2,9,31,35,41,9,12
04-Sep-2020,6,22,29,40,43,4,7
01-Sep-2020,4,8,10,33,46,8,11
28-Aug-2020,7,12,16,17,31,7,9
25-Aug-2020,7,18,30,37,39,8,10
21-Aug-2020,10,15,35,44,50,3,5
18-Aug-2020,6,12,17,34,42,5,12
14-Aug-2020,9,10,19,42,49,4,12
11-Aug-2020,8,13,14,42,50,3,9
07-Aug-2020,5,20,21,36,41,6,11
04-Aug-2020,1,2,5,15,42,5,8
31-Jul-2020,21,24,30,46,49,2,5
28-Jul-2020,9,13,15,17,34,2,7
24-Jul-2020,8,9,27,28,50,4,12
21-Jul-2020,14,15,24,29,42,2,4
17-Jul-2020,7,15,27,41,43,7,9
14-Jul-2020,11,22,30,37,47,9,10
10-Jul-2020,15,17,23,30,38,2,7
07-Jul-2020,12,16,23,33,41,8,10
03-Jul-2020,4,16,27,37,39,3,6
30-Jun-2020,1,6,11,28,42,2,10
26-Jun-2020,1,10,12,21,26,5,11
